import time: self [us] | cumulative | imported package
import time:       570 |       1071 |     pyomo.checker.runner
import time:       506 |        506 |     pyomo.checker.hooks
import time:       939 |        939 |     pyomo.checker.plugins.checker
import time:       557 |        557 |     pyomo.checker.plugins.function
import time:       602 |        602 |     pyomo.checker.plugins.model
import time:       699 |        699 |         pyomo.checker.plugins.checkers.sample.printing
import time:       728 |       1426 |       pyomo.checker.plugins.checkers.sample
import time:       694 |        694 |         pyomo.checker.plugins.checkers.py3k.printing
import time:       533 |        533 |         pyomo.checker.plugins.checkers.py3k.range
import time:       643 |       1869 |       pyomo.checker.plugins.checkers.py3k
import time:       930 |        930 |         pyomo.checker.plugins.checkers.model.model
import time:       530 |        530 |         pyomo.checker.plugins.checkers.model.imports
import time:       495 |        495 |           pyomo.checker.plugins.checkers.model._rulebase
import time:       657 |       1152 |         pyomo.checker.plugins.checkers.model.rule
import time:       573 |        573 |         pyomo.checker.plugins.checkers.model.conditional
import time:       529 |        529 |         pyomo.checker.plugins.checkers.model.assignment
import time:       671 |       4382 |       pyomo.checker.plugins.checkers.model
import time:       632 |       8307 |     pyomo.checker.plugins.checkers
import time:      9979 |       9979 |       backports_abc
import time:      1646 |      11625 |     pyomo.repn.plugins.cpxlp
import time:      1991 |       1991 |         backports_abc
import time:      4579 |       6570 |       pyomo.repn.plugins.ampl.ampl_
import time:      1878 |       8448 |     pyomo.repn.plugins.ampl
import time:      1799 |       1799 |       backports_abc
import time:      1229 |       1229 |       pyomo.repn.util
import time:      2795 |       5823 |     pyomo.repn.plugins.baron_writer
import time:      1515 |       1515 |     pyomo.repn.plugins.mps
import time:      1541 |       1541 |       backports_abc
import time:      2835 |       4375 |     pyomo.repn.plugins.gams_writer
import time:       984 |        984 |     pyomo.neos.plugins.NEOS
import time:      1429 |       1429 |       pyomo.neos.kestrel
import time:       883 |       2311 |     pyomo.neos.plugins.kestrel_plugin
import time:      1112 |       1112 |       pyomo.solvers.plugins.converter.ampl
import time:       747 |        747 |       pyomo.solvers.plugins.converter.glpsol
import time:       628 |        628 |         pyomo.solvers.plugins.converter.pico
import time:       789 |       1416 |       pyomo.solvers.plugins.converter.model
import time:      7956 |      11229 |     pyomo.solvers.plugins.converter
import time:       700 |        700 |         pyomo.solvers.mockmip
import time:      1243 |       1942 |       pyomo.solvers.plugins.solvers.CBCplugin
import time:       801 |        801 |       pyomo.solvers.plugins.solvers.GLPK
import time:      1120 |       1120 |       pyomo.solvers.plugins.solvers.CPLEX
import time:       909 |        909 |             pyomo.solvers.plugins.solvers.direct_or_persistent_solver
import time:      1058 |       1966 |           pyomo.solvers.plugins.solvers.direct_solver
import time:      1462 |       3428 |         pyomo.solvers.plugins.solvers.gurobi_direct
import time:      1156 |       4584 |       pyomo.solvers.plugins.solvers.GUROBI
import time:      1085 |       1085 |       pyomo.solvers.plugins.solvers.BARON
import time:      1067 |       1067 |       pyomo.solvers.plugins.solvers.ASL
import time:       836 |        836 |       pyomo.solvers.plugins.solvers.pywrapper
import time:      1092 |       1092 |       pyomo.solvers.plugins.solvers.SCIPAMPL
import time:      1068 |       1068 |       pyomo.solvers.plugins.solvers.CONOPT
import time:      1126 |       1126 |       pyomo.solvers.plugins.solvers.XPRESS
import time:      1176 |       1176 |       pyomo.solvers.plugins.solvers.IPOPT
import time:       979 |        979 |         pyomo.solvers.plugins.solvers.persistent_solver
import time:      1204 |       2183 |       pyomo.solvers.plugins.solvers.gurobi_persistent
import time:      1627 |       1627 |       pyomo.solvers.plugins.solvers.cplex_direct
import time:      1187 |       1187 |       pyomo.solvers.plugins.solvers.cplex_persistent
import time:      1263 |       1263 |       pyomo.solvers.plugins.solvers.GAMS
import time:      1172 |       1172 |         pyomo.core.kernel.conic
import time:      1648 |       2820 |       pyomo.solvers.plugins.solvers.mosek_direct
import time:      1019 |       1019 |       pyomo.solvers.plugins.solvers.mosek_persistent
import time:      1042 |       1042 |       pyomo.solvers.plugins.solvers.xpress_direct
import time:       765 |        765 |       pyomo.solvers.plugins.solvers.xpress_persistent
import time:      1088 |      28883 |     pyomo.solvers.plugins.solvers
import time:       754 |        754 |       pyomo.gdp.util
import time:       499 |        499 |             pyomo.network.util
import time:       896 |       1395 |           pyomo.network.port
import time:       912 |       2306 |         pyomo.network.arc
import time:       636 |        636 |           pyomo.network.foqus_graph
import time:       749 |       1384 |         pyomo.network.decomposition
import time:       636 |       4325 |       pyomo.network
import time:      1219 |       6297 |     pyomo.gdp.plugins.bigm
import time:       857 |        857 |     pyomo.gdp.plugins.hull
import time:       639 |        639 |     pyomo.gdp.plugins.bilinear
import time:       657 |        657 |     pyomo.gdp.plugins.gdp_var_mover
import time:       594 |        594 |         pyomo.contrib.fme
import time:       989 |       1583 |       pyomo.contrib.fme.fourier_motzkin_elimination
import time:      1262 |       2844 |     pyomo.gdp.plugins.cuttingplane
import time:       706 |        706 |     pyomo.gdp.plugins.fix_disjuncts
import time:       486 |        486 |       pyomo.util.vars_from_expressions
import time:      1276 |       1762 |     pyomo.gdp.plugins.partition_disjuncts
import time:       616 |        616 |     pyomo.gdp.plugins.between_steps
import time:      1442 |       1442 |     pyomo.mpec.complementarity
import time:       649 |        649 |     pyomo.mpec.plugins.mpec1
import time:       539 |        539 |     pyomo.mpec.plugins.mpec2
import time:       474 |        474 |     pyomo.mpec.plugins.mpec3
import time:       509 |        509 |     pyomo.mpec.plugins.mpec4
import time:       494 |        494 |     pyomo.mpec.plugins.solver1
import time:       572 |        572 |     pyomo.mpec.plugins.solver2
import time:       561 |        561 |     pyomo.mpec.plugins.pathampl
import time:       691 |        691 |     pyomo.dae.contset
import time:       538 |        538 |     pyomo.dae.diffvar
